Класс: 8в
Название работы: Провальная работа 4
Дата работы: 20.07.2025

Аиша Муратова:    4
Александра Беляева:    3
Алексей Семихатов:    отсутствовал(а)
Алина Большакова:    4
Анна Герасимова:    3
Владимир Еремин:    4
Владимир Сурдин:    отсутствовал(а)
Григорий Басов:    4
Даниил Иванов:    4
Даниил Кондратов:    4
Дарья Королева:    4
Дюша Метелкин:    отсутствовал(а)
Ева Никонова:    3
Елизавета Федорова:    3
Илья Яшин:    отсутствовал(а)
Кира Воробьева:    4
Ксения Максимова:    3
Ксения Никифорова:    3
Лев Калинин:    4
Леонид Назаров:    3
Максим Евдокимов:    4
Максим Кузнецов:    4
Мария Белова:    4
Мария Соколова:    4
Марьям Лебедева:    3
Милана Литвинова:    2
Мирослава Савельева:    4
Михаил Смирнов:    4
Николай Второй:    3
Таисия Сергеева:    4
Тимур Аксенов:    4
Фёдор Филатов:    4
Фёдор Яковлев:    3
